CustomerID,Description,InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,Country
12347.0,BIRTHDAY BANNER TAPE,539488,22953,24,12/20/2010 9:37,1.25,Switzerland
12348.0,CHILDS GARDEN FORK BLUE ,572294,22522,5,10/23/2011 13:10,0.85,United Kingdom
12352.0,WRAP ENGLISH ROSE ,579274,16161P,25,11/29/2011 10:01,0.42,United Kingdom
12356.0,SET OF 16 VINTAGE RED CUTLERY,573508,84968D,1,10/31/2011 12:11,12.75,Italy
12358.0,BALLOON WATER BOMB PACK OF 35,577742,22440,20,11/21/2011 13:41,0.42,United Kingdom
12359.0,TRIPLE WIRE HOOK PINK HEART,571841,23141,3,10/19/2011 12:21,4.15,United Kingdom
12360.0,ENGLISH ROSE NOTEBOOK A6 SIZE,552290,84535A,3,5/8/2011 13:32,0.65,United Kingdom
12362.0,VINTAGE JINGLE BELLS HEART,575491,23491,1,11/9/2011 17:47,8.25,United Kingdom
12363.0,SET 36 COLOUR PENCILS DOLLY GIRL,578921,23372,1,11/27/2011 11:57,1.25,United Kingdom
12364.0,VINTAGE UNION JACK PENNANT,570223,21626,3,10/9/2011 13:11,1.95,United Kingdom
12365.0,BUFFALO BILL WALL ART ,570337,23525,6,10/10/2011 12:23,3.75,United Kingdom
12370.0,12 PENCILS TALL TUBE RED RETROSPOT,575491,20983,24,11/9/2011 17:47,0.85,United Kingdom
12371.0,FLOWER BLUE CLOCK WITH SUCKER,561900,81950B,5,7/31/2011 15:31,0.29,United Kingdom
12377.0,WALL ART I LOVE LONDON ,573083,23537,3,10/27/2011 14:22,4.95,United Kingdom
12379.0,VINTAGE RED TRIM ENAMEL BOWL ,577469,23250,4,11/20/2011 11:25,1.25,United Kingdom
12380.0,BIRTHDAY BANQUET GIFT WRAP,575491,22048,25,11/9/2011 17:47,0.42,United Kingdom
12381.0,CARD MOTORBIKE SANTA,578794,22816,12,11/25/2011 12:24,0.42,United Kingdom
12384.0,BIRDHOUSE DECORATION MAGIC GARDEN,577690,22251,8,11/21/2011 11:34,1.25,United Kingdom
12388.0,ENGLISH ROSE NOTEBOOK A6 SIZE,552290,84535A,3,5/8/2011 13:32,0.65,United Kingdom
12393.0,GREEN EASTER EGG HUNT START POST,542898,21460,1,2/1/2011 14:01,1.95,United Kingdom
12394.0,CHALKBOARD KITCHEN ORGANISER,C537132,22769,-8,12/5/2010 12:29,21.95,United Kingdom
12397.0,GROW YOUR OWN HERBS SET OF 3,556473,22443,1,6/12/2011 12:00,7.95,United Kingdom
