CustomerID,Description,Quantity,InvoiceDate,UnitPrice,Country
13047.0,STRAWBERRY BATH SPONGE ,10,12/8/2011 13:47,1.25,United Kingdom
12583.0,AQUA BERTIE GLASS BEAD BAG CHARM,6,12/2/2011 16:14,2.1,United Kingdom
15100.0,EDWARDIAN PHOTO FRAME,2,11/13/2011 13:27,6.25,United Kingdom
15291.0,WICKER STAR ,1,12/9/2011 11:34,2.1,United Kingdom
14688.0,PINK  HEART CONFETTI IN TUBE,12,8/26/2011 15:44,1.65,France
17809.0,CHRISTMAS TOILET ROLL,8,12/8/2011 13:47,1.25,United Kingdom
15311.0,FIRE POLISHED GLASS NECKL BRONZE,1,12/15/2010 13:24,5.95,United Kingdom
14527.0,CHILDREN'S SPACEBOY MUG,2,12/8/2011 13:36,1.65,United Kingdom
16098.0,JIGSAW TOADSTOOLS 3 PIECE,8,12/7/2011 14:12,0.59,United Kingdom
18074.0,RASPBERRY ANT COPPER FLOWER NECKLAC,2,11/8/2011 17:09,5.95,United Kingdom
17420.0,ZINC HEARTS PLANT POT HOLDER,2,12/8/2011 12:26,0.79,United Kingdom
16029.0,FRENCH LATTICE CUSHION COVER ,12,11/23/2011 16:34,0.85,United Kingdom
16250.0,BAKING MOULD HEART WHITE CHOCOLATE,6,12/8/2011 13:47,2.55,United Kingdom
17511.0,HANGING HEART ZINC T-LIGHT HOLDER,56,12/5/2011 17:17,2.08,United Kingdom
13408.0,PACK OF 20 SKULL PAPER NAPKINS,2,12/7/2011 13:53,0.85,United Kingdom
13767.0,36 DOILIES DOLLY GIRL,12,11/10/2011 11:45,1.45,United Kingdom
13448.0,FLYING PIG WATERING CAN,1,12/5/2011 17:36,2.95,United Kingdom
15862.0,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,7,11/23/2011 13:39,1.63,United Kingdom
12791.0,PINK METAL CHICKEN HEART ,2,10/30/2011 16:17,1.49,United Kingdom
16218.0,HAND WARMER SCOTTY DOG DESIGN,2,12/8/2011 19:24,2.1,United Kingdom
14045.0,POCKET MIRROR WOODLAND,5,11/25/2011 11:12,1.25,Germany
14307.0,DOLLY CABINET 2 DRAWERS ,-2,12/8/2011 10:34,12.5,United Kingdom
17908.0,CARD HOLDER LOVE BIRD LARGE ,2,12/5/2011 12:05,6.25,United Kingdom
17920.0,GOLD PRINT PAPER BAG,5,12/2/2010 13:49,0.19,United Kingdom
12838.0,WOODLAND BUNNIES LOLLY MAKERS,42,12/7/2011 15:43,2.08,Germany
16583.0,STRAWBERRY CERAMIC TRINKET BOX,224,12/1/2011 11:18,1.06,United Kingdom
18085.0,YELLOW GIANT GARDEN THERMOMETER,1,12/8/2011 14:38,5.95,United Kingdom
14849.0,SET OF 6 EASTER RAINBOW CHICKS,12,11/15/2011 17:14,1.25,United Kingdom
17377.0,6 RIBBONS EMPIRE  ,24,12/9/2011 10:20,0.39,United Kingdom
16552.0,BLACK CHERRY LIGHTS,8,2/11/2011 13:53,6.75,United Kingdom
17181.0,PINK HEART SHAPE PHOTO FRAME,4,8/22/2011 14:13,1.65,United Kingdom
17951.0,WRAP VINTAGE PETALS  DESIGN,25,6/23/2011 9:53,0.42,United Kingdom
