prev,next,label
"## order history
Order details for 01/18/2011 10:01: MEDIUM CERAMIC TOP STORAGE JAR, ","## next purchase prediction
MEDIUM CERAMIC TOP STORAGE JAR",1
"## order history
Order details for 01/18/2011 10:01: MEDIUM CERAMIC TOP STORAGE JAR, ","## next purchase prediction
6 GIFT TAGS VINTAGE CHRISTMAS ",0
"## order history
Order details for 12/06/2011 15:40 [Concurrent Purchase]:  I LOVE LONDON MINI BACKPACK, JUMBO STORAGE BAG SUKI, SPACEBOY MINI BACKPACK, SET OF 3 WOODEN SLEIGH DECORATIONS, SET OF 4 KNICK KNACK TINS LEAF, TRADTIONAL ALPHABET STAMP SET, PICTURE DOMINOES, DOLLY GIRL MINI BACKPACK, SET 36 COLOUR PENCILS LOVE LONDON, PACK OF 20 NAPKINS RED APPLES, CARD MOTORBIKE SANTA, JUMBO BAG VINTAGE DOILY , JUMBO BAG RED RETROSPOT, JUMBO BAG VINTAGE LEAF, JUMBO BAG APPLES, BAG 250g SWIRLY MARBLES, RED RETROSPOT MINI CASES, ASSORTED COLOUR MINI CASES, SPACEBOY CHILDRENS CUP, SPACEBOY CHILDRENS BOWL, CHILDRENS CUTLERY POLKADOT PINK, CHILDRENS CUTLERY CIRCUS PARADE, CHILDRENS CUTLERY SPACEBOY , CHILDRENS CUTLERY DOLLY GIRL , ROUND STORAGE TIN VINTAGE LEAF, ROUND SNACK BOXES SET OF 4 FRUITS , SET OF 4 KNICK KNACK TINS LONDON , PAPER BUNTING VINTAGE PARTY, CHARLOTTE BAG APPLES DESIGN, 
Order details for 11/28/2011 14:55 [Concurrent Purchase]: CHRISTMAS LIGHTS 10 SANTAS , CHRISTMAS LIGHTS 10 REINDEER, CHRISTMAS LIGHTS 10 VINTAGE BAUBLES, 
Order details for 11/04/2011 09:07 [Concurrent Purchase]: POPCORN HOLDER, SET 4 PICNIC CUTLERY CHERRY , SET 4 PICNIC CUTLERY BLUEBERRY, JAM JAR WITH PINK LID, SET OF 20 KIDS COOKIE CUTTERS, HOT STUFF HOT WATER BOTTLE, SET 4 PICNIC CUTLERY FONDANT, BISCUIT TIN 50'S CHRISTMAS, LONDON BUS COFFEE MUG, GIANT 50'S CHRISTMAS CRACKER, POSTAGE, PACK 3 BOXES CHRISTMAS PANNETONE, CHICK GREY HOT WATER BOTTLE, SET 2 TEA TOWELS I LOVE LONDON , LUNCH BOX I LOVE LONDON, BOX OF 6 MINI 50'S CRACKERS, ","## next purchase prediction
POSTAGE",1
"## order history
Order details for 12/06/2011 15:40 [Concurrent Purchase]:  I LOVE LONDON MINI BACKPACK, JUMBO STORAGE BAG SUKI, SPACEBOY MINI BACKPACK, SET OF 3 WOODEN SLEIGH DECORATIONS, SET OF 4 KNICK KNACK TINS LEAF, TRADTIONAL ALPHABET STAMP SET, PICTURE DOMINOES, DOLLY GIRL MINI BACKPACK, SET 36 COLOUR PENCILS LOVE LONDON, PACK OF 20 NAPKINS RED APPLES, CARD MOTORBIKE SANTA, JUMBO BAG VINTAGE DOILY , JUMBO BAG RED RETROSPOT, JUMBO BAG VINTAGE LEAF, JUMBO BAG APPLES, BAG 250g SWIRLY MARBLES, RED RETROSPOT MINI CASES, ASSORTED COLOUR MINI CASES, SPACEBOY CHILDRENS CUP, SPACEBOY CHILDRENS BOWL, CHILDRENS CUTLERY POLKADOT PINK, CHILDRENS CUTLERY CIRCUS PARADE, CHILDRENS CUTLERY SPACEBOY , CHILDRENS CUTLERY DOLLY GIRL , ROUND STORAGE TIN VINTAGE LEAF, ROUND SNACK BOXES SET OF 4 FRUITS , SET OF 4 KNICK KNACK TINS LONDON , PAPER BUNTING VINTAGE PARTY, CHARLOTTE BAG APPLES DESIGN, 
Order details for 11/28/2011 14:55 [Concurrent Purchase]: CHRISTMAS LIGHTS 10 SANTAS , CHRISTMAS LIGHTS 10 REINDEER, CHRISTMAS LIGHTS 10 VINTAGE BAUBLES, 
Order details for 11/04/2011 09:07 [Concurrent Purchase]: POPCORN HOLDER, SET 4 PICNIC CUTLERY CHERRY , SET 4 PICNIC CUTLERY BLUEBERRY, JAM JAR WITH PINK LID, SET OF 20 KIDS COOKIE CUTTERS, HOT STUFF HOT WATER BOTTLE, SET 4 PICNIC CUTLERY FONDANT, BISCUIT TIN 50'S CHRISTMAS, LONDON BUS COFFEE MUG, GIANT 50'S CHRISTMAS CRACKER, POSTAGE, PACK 3 BOXES CHRISTMAS PANNETONE, CHICK GREY HOT WATER BOTTLE, SET 2 TEA TOWELS I LOVE LONDON , LUNCH BOX I LOVE LONDON, BOX OF 6 MINI 50'S CRACKERS, ","## next purchase prediction
CERAMIC STRAWBERRY CAKE MONEY BANK",0
"## order history
Order details for 02/21/2011 14:02: Manual, 
Order details for 02/21/2011 13:51 [Concurrent Purchase]: GREEN REGENCY TEACUP AND SAUCER, HANGING GLASS ETCHED TEALIGHT, PINK CREAM FELT CRAFT TRINKET BOX , PACK OF 6 BIRDY GIFT TAGS, CREAM SLICE FLANNEL PINK SPOT , CREAM SLICE FLANNEL CHOCOLATE SPOT , TOAST ITS - HAPPY BIRTHDAY, TOAST ITS - FAIRY FLOWER, TOAST ITS - I LOVE YOU , REGENCY CAKESTAND 3 TIER, PARTY CONES CANDY ASSORTED, PINK REGENCY TEACUP AND SAUCER, SET OF 36 TEATIME PAPER DOILIES, SET OF 36 PAISLEY FLOWER DOILIES, SPOTTY PINK DUCK DOORSTOP, ASSORTED BOTTLE TOP  MAGNETS , SET/3 ROSE CANDLE IN JEWELLED BOX, BIRDHOUSE GARDEN MARKER , WHITE LOVEBIRD LANTERN, ANT WHITE WIRE HEART SPIRAL, ROSES REGENCY TEACUP AND SAUCER , ","## next purchase prediction
Manual",1
"## order history
Order details for 02/21/2011 14:02: Manual, 
Order details for 02/21/2011 13:51 [Concurrent Purchase]: GREEN REGENCY TEACUP AND SAUCER, HANGING GLASS ETCHED TEALIGHT, PINK CREAM FELT CRAFT TRINKET BOX , PACK OF 6 BIRDY GIFT TAGS, CREAM SLICE FLANNEL PINK SPOT , CREAM SLICE FLANNEL CHOCOLATE SPOT , TOAST ITS - HAPPY BIRTHDAY, TOAST ITS - FAIRY FLOWER, TOAST ITS - I LOVE YOU , REGENCY CAKESTAND 3 TIER, PARTY CONES CANDY ASSORTED, PINK REGENCY TEACUP AND SAUCER, SET OF 36 TEATIME PAPER DOILIES, SET OF 36 PAISLEY FLOWER DOILIES, SPOTTY PINK DUCK DOORSTOP, ASSORTED BOTTLE TOP  MAGNETS , SET/3 ROSE CANDLE IN JEWELLED BOX, BIRDHOUSE GARDEN MARKER , WHITE LOVEBIRD LANTERN, ANT WHITE WIRE HEART SPIRAL, ROSES REGENCY TEACUP AND SAUCER , ","## next purchase prediction
ICE CREAM PEN LIP GLOSS ",0
"## order history
Order details for 10/11/2011 10:43 [Concurrent Purchase]: ASSORTED BOTTLE TOP  MAGNETS , OFFICE MUG WARMER PINK, SET OF 5 MINI GROCERY MAGNETS, SET OF 6 NATIVITY MAGNETS , SET OF 5 LUCKY CAT MAGNETS , SET OF 5 PANCAKE DAY MAGNETS, ORIGAMI ROSE INCENSE/CANDLE SET , TOOL BOX SOFT TOY , SET OF 6 3D KIT CARDS FOR KIDS, POPPY'S PLAYHOUSE BEDROOM , RETROSPOT TEA SET CERAMIC 11 PC , OFFICE MUG WARMER BLACK+SILVER , OFFICE MUG WARMER CHOC+BLUE, OFFICE MUG WARMER POLKADOT, MAGNETS PACK OF 4 SWALLOWS, HAND WARMER RED RETROSPOT, CHOCOLATE 1 WICK MORRIS BOX CANDLE, HAND WARMER OWL DESIGN, HAND WARMER SCOTTY DOG DESIGN, WHITE SKULL HOT WATER BOTTLE , ENGLISH ROSE HOT WATER BOTTLE, RETROSPOT HEART HOT WATER BOTTLE, KNITTED UNION FLAG HOT WATER BOTTLE, FAWN BLUE HOT WATER BOTTLE, GREY HEART HOT WATER BOTTLE, SCOTTIE DOG HOT WATER BOTTLE, HOT WATER BOTTLE KEEP CALM, LOVE HOT WATER BOTTLE, HOT WATER BOTTLE SEX BOMB, HAND WARMER BABUSHKA DESIGN, FRIDGE MAGNETS LA VIE EN ROSE, HOT STUFF HOT WATER BOTTLE, STRAWBERRY BATH SPONGE , APPLE BATH SPONGE, CHOCOLATE 3 WICK MORRIS BOX CANDLE, 3 ROSE MORRIS BOXED CANDLES, ROSE 3 WICK MORRIS BOX CANDLE, ROSE 1 WICK MORRIS BOXED CANDLE, 3 GARDENIA MORRIS BOXED CANDLES, GARDENIA 3 WICK MORRIS BOXED CANDLE, GARDENIA 1 WICK MORRIS BOXED CANDLE, CUPID DESIGN SCENTED CANDLES, SMALL HAMMERED SILVER CANDLEPOT , SILVER VANILLA  FLOWER CANDLE POT, 4 LAVENDER BOTANICAL DINNER CANDLES, 4 PEAR BOTANICAL DINNER CANDLES, SET OF 4 ROSE BOTANICAL CANDLES, 4 LILY  BOTANICAL DINNER CANDLES, ROTATING LEAVES T-LIGHT HOLDER, ROTATING SILVER ANGELS T-LIGHT HLDR, VINTAGE UNION JACK APRON, PING MICROWAVE APRON, ADULT APRON APPLE DELIGHT, LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT, SKULL LUNCH BOX WITH CUTLERY , LUNCH BOX WITH CUTLERY RETROSPOT , SET 2 PANTRY DESIGN TEA TOWELS, REGENCY CAKESTAND 3 TIER, SNOWSTORM PHOTO FRAME FRIDGE MAGNET, GRAND CHOCOLATECANDLE, FRIDGE MAGNETS LES ENFANTS ASSORTED, ","## next purchase prediction
POSTAGE",1
"## order history
Order details for 10/11/2011 10:43 [Concurrent Purchase]: ASSORTED BOTTLE TOP  MAGNETS , OFFICE MUG WARMER PINK, SET OF 5 MINI GROCERY MAGNETS, SET OF 6 NATIVITY MAGNETS , SET OF 5 LUCKY CAT MAGNETS , SET OF 5 PANCAKE DAY MAGNETS, ORIGAMI ROSE INCENSE/CANDLE SET , TOOL BOX SOFT TOY , SET OF 6 3D KIT CARDS FOR KIDS, POPPY'S PLAYHOUSE BEDROOM , RETROSPOT TEA SET CERAMIC 11 PC , OFFICE MUG WARMER BLACK+SILVER , OFFICE MUG WARMER CHOC+BLUE, OFFICE MUG WARMER POLKADOT, MAGNETS PACK OF 4 SWALLOWS, HAND WARMER RED RETROSPOT, CHOCOLATE 1 WICK MORRIS BOX CANDLE, HAND WARMER OWL DESIGN, HAND WARMER SCOTTY DOG DESIGN, WHITE SKULL HOT WATER BOTTLE , ENGLISH ROSE HOT WATER BOTTLE, RETROSPOT HEART HOT WATER BOTTLE, KNITTED UNION FLAG HOT WATER BOTTLE, FAWN BLUE HOT WATER BOTTLE, GREY HEART HOT WATER BOTTLE, SCOTTIE DOG HOT WATER BOTTLE, HOT WATER BOTTLE KEEP CALM, LOVE HOT WATER BOTTLE, HOT WATER BOTTLE SEX BOMB, HAND WARMER BABUSHKA DESIGN, FRIDGE MAGNETS LA VIE EN ROSE, HOT STUFF HOT WATER BOTTLE, STRAWBERRY BATH SPONGE , APPLE BATH SPONGE, CHOCOLATE 3 WICK MORRIS BOX CANDLE, 3 ROSE MORRIS BOXED CANDLES, ROSE 3 WICK MORRIS BOX CANDLE, ROSE 1 WICK MORRIS BOXED CANDLE, 3 GARDENIA MORRIS BOXED CANDLES, GARDENIA 3 WICK MORRIS BOXED CANDLE, GARDENIA 1 WICK MORRIS BOXED CANDLE, CUPID DESIGN SCENTED CANDLES, SMALL HAMMERED SILVER CANDLEPOT , SILVER VANILLA  FLOWER CANDLE POT, 4 LAVENDER BOTANICAL DINNER CANDLES, 4 PEAR BOTANICAL DINNER CANDLES, SET OF 4 ROSE BOTANICAL CANDLES, 4 LILY  BOTANICAL DINNER CANDLES, ROTATING LEAVES T-LIGHT HOLDER, ROTATING SILVER ANGELS T-LIGHT HLDR, VINTAGE UNION JACK APRON, PING MICROWAVE APRON, ADULT APRON APPLE DELIGHT, LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT, SKULL LUNCH BOX WITH CUTLERY , LUNCH BOX WITH CUTLERY RETROSPOT , SET 2 PANTRY DESIGN TEA TOWELS, REGENCY CAKESTAND 3 TIER, SNOWSTORM PHOTO FRAME FRIDGE MAGNET, GRAND CHOCOLATECANDLE, FRIDGE MAGNETS LES ENFANTS ASSORTED, ","## next purchase prediction
STAR T-LIGHT HOLDER WILLIE WINKIE",0
"## order history
Order details for 09/19/2011 10:09 [Concurrent Purchase]: JUMBO BAG RED RETROSPOT, LUNCH BAG CARS BLUE, PLASTERS IN TIN CIRCUS PARADE , ROUND SNACK BOXES SET OF 4 FRUITS , PLASTERS IN TIN SPACEBOY, WOODLAND STORAGE BOX LARGE , ROUND SNACK BOXES SET OF4 WOODLAND , JUMBO BAG APPLES, LUNCH BAG SPACEBOY DESIGN , CHARLOTTE BAG APPLES DESIGN, WOODLAND STORAGE BOX SMALL, LUNCH BAG PINK POLKADOT, LUNCH BAG VINTAGE LEAF DESIGN, LUNCH BAG SUKI DESIGN , LUNCH BAG WOODLAND, LUNCH BAG RED RETROSPOT, PLASTERS IN TIN STRONGMAN, LUNCH BAG APPLE DESIGN, PLASTERS IN TIN WOODLAND ANIMALS, 
Order details for 07/07/2011 10:26: LUNCH BOX I LOVE LONDON, 
Order details for 06/22/2011 16:32 [Concurrent Purchase]: PACK OF 72 RETROSPOT CAKE CASES, PACK OF 20 NAPKINS RED APPLES, SET OF 6 SOLDIER SKITTLES, CIRCUS PARADE LUNCH BOX , LUNCH BOX I LOVE LONDON, SET OF 4 KNICK KNACK TINS LONDON , LUNCH BOX WITH CUTLERY RETROSPOT , SET/20 RED RETROSPOT PAPER NAPKINS , DOILEY STORAGE TIN, POLKADOT PEN, POSTAGE, CHILDRENS CUTLERY RETROSPOT RED , COFFEE MUG PEARS  DESIGN, COFFEE MUG CAT + BIRD DESIGN, COFFEE MUG APPLES DESIGN, RED RETROSPOT BIG BOWL, RED RETROSPOT BOWL, GREEN POLKADOT BOWL, RED RETROSPOT PURSE , RED RETROSPOT MINI CASES, ","## next purchase prediction
POSTAGE",1
"## order history
Order details for 09/19/2011 10:09 [Concurrent Purchase]: JUMBO BAG RED RETROSPOT, LUNCH BAG CARS BLUE, PLASTERS IN TIN CIRCUS PARADE , ROUND SNACK BOXES SET OF 4 FRUITS , PLASTERS IN TIN SPACEBOY, WOODLAND STORAGE BOX LARGE , ROUND SNACK BOXES SET OF4 WOODLAND , JUMBO BAG APPLES, LUNCH BAG SPACEBOY DESIGN , CHARLOTTE BAG APPLES DESIGN, WOODLAND STORAGE BOX SMALL, LUNCH BAG PINK POLKADOT, LUNCH BAG VINTAGE LEAF DESIGN, LUNCH BAG SUKI DESIGN , LUNCH BAG WOODLAND, LUNCH BAG RED RETROSPOT, PLASTERS IN TIN STRONGMAN, LUNCH BAG APPLE DESIGN, PLASTERS IN TIN WOODLAND ANIMALS, 
Order details for 07/07/2011 10:26: LUNCH BOX I LOVE LONDON, 
Order details for 06/22/2011 16:32 [Concurrent Purchase]: PACK OF 72 RETROSPOT CAKE CASES, PACK OF 20 NAPKINS RED APPLES, SET OF 6 SOLDIER SKITTLES, CIRCUS PARADE LUNCH BOX , LUNCH BOX I LOVE LONDON, SET OF 4 KNICK KNACK TINS LONDON , LUNCH BOX WITH CUTLERY RETROSPOT , SET/20 RED RETROSPOT PAPER NAPKINS , DOILEY STORAGE TIN, POLKADOT PEN, POSTAGE, CHILDRENS CUTLERY RETROSPOT RED , COFFEE MUG PEARS  DESIGN, COFFEE MUG CAT + BIRD DESIGN, COFFEE MUG APPLES DESIGN, RED RETROSPOT BIG BOWL, RED RETROSPOT BOWL, GREEN POLKADOT BOWL, RED RETROSPOT PURSE , RED RETROSPOT MINI CASES, ","## next purchase prediction
CHILDRENS DOLLY GIRL MUG",0
