1th_purchase_product_id,2th_purchase_product_id,3th_purchase_product_id,4th_purchase_product_id,5th_purchase_product_id,6th_purchase_product_id,label
22375,85178,23084,17021,22725,23308,1
22375,85178,23084,17021,22725,22953,0
23077,23076,23078,POST,22437,23077,1
23077,23076,23078,POST,22437,22522,0
22624,22720,POST,84510A,23298,23243,1
22624,22720,POST,84510A,23298,16161P,0
22423,21843,22131,22649,22195,37447,1
22423,21843,22131,22649,22195,84968D,0
20679,15056N,15056BL,15056P,22059,48185,1
20679,15056N,15056BL,15056P,22059,22440,0
22666,22839,22567,22656,22926,23172,1
22666,22839,22567,22656,22926,23141,0
21242,23008,21086,21561,21080,22814,1
21242,23008,21086,21561,21080,84535A,0
22630,22891,22659,22662,23209,85099B,1
22630,22891,22659,22662,23209,23491,0
84991,21123,21122,21124,21211,22952,1
84991,21123,21122,21124,21211,23372,0
21121,23308,22090,21122,23298,23310,1
21121,23308,22090,21122,23298,21626,0
M,20972,21107,21106,21358,M,1
M,20972,21107,21106,21358,23525,0
22113,22313,POST,22312,37449,20969,1
22113,22313,POST,22312,37449,20983,0
21620,22834,22924,23156,23157,POST,1
21620,22834,22924,23156,23157,81950B,0
16012,22448,22197,20750,20662,22545,1
16012,22448,22197,20750,20662,23537,0
22659,23236,20676,21246,22303,22328,1
22659,23236,20676,21246,22303,23250,0
84997B,20723,23256,23204,20712,85099B,1
84997B,20723,23256,23204,20712,22048,0
22807,22492,22634,21340,22979,85159B,1
22807,22492,22634,21340,22979,22816,0
22215,23245,23108,20750,22377,84279P,1
22215,23245,23108,20750,22377,22251,0
23024,84978,23295,23293,23294,23325,1
23024,84978,23295,23293,23294,84535A,0
22333,22382,22380,22449,22195,22331,1
22333,22382,22380,22449,22195,21460,0
23245,23295,23296,23293,37495,22630,1
23245,23295,23296,23293,37495,22769,0
23510,22727,23203,23390,23388,20840,1
23510,22727,23203,23390,23388,22443,0
POST,84536B,48185,21884,37501,23159,1
POST,84536B,48185,21884,37501,85025C,0
23167,23166,23298,23298,23165,85049E,1
23167,23166,23298,23298,23165,85092,0
22625,POST,22627,22626,22674,22192,1
22625,POST,22627,22626,22674,21212,0
23393,22555,22326,22457,22356,85014A,1
23393,22555,22326,22457,22356,84212,0
47566B,47599A,22128,21977,POST,47590A,1
