1th_product_id,1th_concurrent_purchase,2th_product_id,2th_concurrent_purchase,3th_product_id,3th_concurrent_purchase,4th_product_id,4th_concurrent_purchase,5th_product_id,5th_concurrent_purchase,6th_product_id,label
22375,1,85178,1.0,23084,1.0,17021,1.0,22725,1.0,23308,1
22375,1,85178,1.0,23084,1.0,17021,1.0,22725,1.0,22953,0
23077,1,23076,1.0,23078,1.0,POST,1.0,22437,1.0,23077,1
23077,1,23076,1.0,23078,1.0,POST,1.0,22437,1.0,22522,0
22624,1,22720,1.0,POST,1.0,84510A,1.0,23298,1.0,23243,1
22624,1,22720,1.0,POST,1.0,84510A,1.0,23298,1.0,16161P,0
22423,1,21843,1.0,22131,1.0,22649,1.0,22195,1.0,37447,1
22423,1,21843,1.0,22131,1.0,22649,1.0,22195,1.0,84968D,0
20679,1,15056N,1.0,15056BL,1.0,15056P,1.0,22059,1.0,48185,1
20679,1,15056N,1.0,15056BL,1.0,15056P,1.0,22059,1.0,22440,0
22666,1,22839,1.0,22567,1.0,22656,1.0,22926,1.0,23172,1
22666,1,22839,1.0,22567,1.0,22656,1.0,22926,1.0,23141,0
21242,1,23008,1.0,21086,1.0,21561,1.0,21080,1.0,22814,1
21242,1,23008,1.0,21086,1.0,21561,1.0,21080,1.0,84535A,0
22630,1,22891,1.0,22659,1.0,22662,1.0,23209,1.0,85099B,1
22630,1,22891,1.0,22659,1.0,22662,1.0,23209,1.0,23491,0
84991,1,21123,1.0,21122,1.0,21124,1.0,21211,1.0,22952,1
84991,1,21123,1.0,21122,1.0,21124,1.0,21211,1.0,23372,0
21121,1,23308,1.0,22090,1.0,21122,1.0,23298,1.0,23310,1
21121,1,23308,1.0,22090,1.0,21122,1.0,23298,1.0,21626,0
M,0,20972,1.0,21107,1.0,21106,1.0,21358,1.0,M,1
M,0,20972,1.0,21107,1.0,21106,1.0,21358,1.0,23525,0
22113,1,22313,1.0,POST,1.0,22312,1.0,37449,1.0,20969,1
22113,1,22313,1.0,POST,1.0,22312,1.0,37449,1.0,20983,0
21620,1,22834,1.0,22924,1.0,23156,1.0,23157,1.0,POST,1
21620,1,22834,1.0,22924,1.0,23156,1.0,23157,1.0,81950B,0
16012,1,22448,1.0,22197,1.0,20750,1.0,20662,1.0,22545,1
16012,1,22448,1.0,22197,1.0,20750,1.0,20662,1.0,23537,0
22659,0,23236,1.0,20676,1.0,21246,1.0,22303,1.0,22328,1
22659,0,23236,1.0,20676,1.0,21246,1.0,22303,1.0,23250,0
84997B,1,20723,1.0,23256,1.0,23204,1.0,20712,1.0,85099B,1
84997B,1,20723,1.0,23256,1.0,23204,1.0,20712,1.0,22048,0
22807,1,22492,1.0,22634,1.0,21340,1.0,22979,1.0,85159B,1
22807,1,22492,1.0,22634,1.0,21340,1.0,22979,1.0,22816,0
22215,1,23245,1.0,23108,1.0,20750,1.0,22377,1.0,84279P,1
22215,1,23245,1.0,23108,1.0,20750,1.0,22377,1.0,22251,0
23024,1,84978,1.0,23295,1.0,23293,1.0,23294,1.0,23325,1
23024,1,84978,1.0,23295,1.0,23293,1.0,23294,1.0,84535A,0
22333,1,22382,1.0,22380,1.0,22449,1.0,22195,1.0,22331,1
22333,1,22382,1.0,22380,1.0,22449,1.0,22195,1.0,21460,0
23245,1,23295,1.0,23296,1.0,23293,1.0,37495,1.0,22630,1
23245,1,23295,1.0,23296,1.0,23293,1.0,37495,1.0,22769,0
23510,1,22727,1.0,23203,1.0,23390,1.0,23388,1.0,20840,1
23510,1,22727,1.0,23203,1.0,23390,1.0,23388,1.0,22443,0
POST,1,84536B,1.0,48185,1.0,21884,1.0,37501,0.0,23159,1
POST,1,84536B,1.0,48185,1.0,21884,1.0,37501,0.0,85025C,0
23167,1,23166,1.0,23298,0.0,23298,0.0,23165,0.0,85049E,1
23167,1,23166,1.0,23298,0.0,23298,0.0,23165,0.0,85092,0
22625,1,POST,1.0,22627,1.0,22626,1.0,22674,1.0,22192,1
22625,1,POST,1.0,22627,1.0,22626,1.0,22674,1.0,21212,0
23393,1,22555,1.0,22326,1.0,22457,1.0,22356,1.0,85014A,1
23393,1,22555,1.0,22326,1.0,22457,1.0,22356,1.0,84212,0
47566B,1,47599A,1.0,22128,1.0,21977,1.0,POST,1.0,47590A,1
47566B,1,47599A,1.0,22128,1.0,21977,1.0,POST,1.0,35637A,0
22621,1,22818,1.0,23445,1.0,23349,1.0,22492,1.0,21891,1
22621,1,22818,1.0,23445,1.0,23349,1.0,22492,1.0,84625C,0
23256,1,23240,1.0,23236,1.0,POST,1.0,16161P,1.0,21481,1
23256,1,23240,1.0,23236,1.0,POST,1.0,16161P,1.0,23502,0
M,0,21519,1.0,22646,1.0,22088,1.0,21232,1.0,21520,1
M,0,21519,1.0,22646,1.0,22088,1.0,21232,1.0,23484,0
22749,1,22961,1.0,POST,1.0,21481,1.0,21944,1.0,23344,1
22749,1,22961,1.0,POST,1.0,21481,1.0,21944,1.0,22317,0
POST,1,22554,1.0,20981,1.0,23084,1.0,20724,1.0,20981,1
POST,1,22554,1.0,20981,1.0,23084,1.0,20724,1.0,20970,0
21731,0,84978,0.0,23300,1.0,23301,1.0,22726,1.0,35004G,1
21731,0,84978,0.0,23300,1.0,23301,1.0,22726,1.0,20837,0
21115,1,22053,1.0,22505,1.0,21787,1.0,21789,1.0,POST,1
21115,1,22053,1.0,22505,1.0,21787,1.0,21789,1.0,23153,0
22720,1,84510A,1.0,23240,1.0,23243,1.0,23293,1.0,37500,1
22720,1,84510A,1.0,23240,1.0,23243,1.0,23293,1.0,23451,0
22232,0,21372,1.0,20665,1.0,22232,1.0,23052,1.0,22379,1
22232,0,21372,1.0,20665,1.0,22232,1.0,23052,1.0,90014B,0
23007,1,21915,1.0,23010,1.0,23008,1.0,22468,1.0,22192,1
23007,1,21915,1.0,23010,1.0,23008,1.0,22468,1.0,23026,0
22848,1,22846,1.0,22624,1.0,POST,1.0,22784,1.0,22627,1
22848,1,22846,1.0,22624,1.0,POST,1.0,22784,1.0,51014L,0
POST,0,POST,0.0,0,0.0,0,0.0,0,0.0,22551,1
POST,0,POST,0.0,0,0.0,0,0.0,0,0.0,23463,0
82494L,1,82483,1.0,82486,1.0,22423,1.0,22173,1.0,72802C,1
82494L,1,82483,1.0,82486,1.0,22423,1.0,22173,1.0,21627,0
21243,1,21242,1.0,21244,1.0,20677,1.0,POST,1.0,21063,1
21243,1,21242,1.0,21244,1.0,20677,1.0,POST,1.0,85230A,0
21829,1,22317,1.0,20726,1.0,20728,1.0,22662,1.0,47591D,1
21829,1,22317,1.0,20726,1.0,20728,1.0,22662,1.0,21439,0
21494,1,72741,1.0,22077,1.0,23148,1.0,22661,1.0,23281,1
21494,1,72741,1.0,22077,1.0,23148,1.0,22661,1.0,22591,0
POST,1,22467,1.0,22624,1.0,22625,1.0,POST,0.0,22624,1
POST,1,22467,1.0,22624,1.0,22625,1.0,POST,0.0,22734,0
23256,1,22179,1.0,22961,1.0,22331,1.0,23204,1.0,22326,1
23256,1,22179,1.0,22961,1.0,22331,1.0,23204,1.0,22896,0
POST,1,23155,1.0,22741,1.0,22556,1.0,22961,1.0,POST,1
POST,1,23155,1.0,22741,1.0,22556,1.0,22961,1.0,84992,0
22302,1,21914,1.0,84997D,1.0,22613,1.0,22029,1.0,22322,1
22302,1,21914,1.0,84997D,1.0,22613,1.0,22029,1.0,23177,0
48188,1,22304,1.0,84997B,1.0,21155,1.0,22244,1.0,20685,1
48188,1,22304,1.0,84997B,1.0,21155,1.0,22244,1.0,21262,0
22720,1,20979,1.0,21989,1.0,21987,1.0,21558,1.0,20979,1
22720,1,20979,1.0,21989,1.0,21987,1.0,21558,1.0,90161C,0
