,prev,next,label
0,"## 주문 히스토리
2023-06-26 02:07:33의 주문 내역 [동시구매]: 기타무침반찬 - [브랜드데이] 밥에 비벼 먹는 윤영근 착한 ""곤드레"" 1팩/1+1팩/4팩 골라담기 밥에 비벼 먹는 곤드레 1봉(80g), 기타무침반찬 - [브랜드데이] 밥에 비벼 먹는 윤영근 착한 ""취나물"" 1팩/1+1팩/4팩 골라담기 밥에 비벼 먹는 취나물 1봉(80g), 기타무침반찬 - [브랜드데이] 밥에 비벼 먹는 윤영근 착한 ""유채나물"" 1팩/1+1팩/4팩 골라담기 밥에 비벼 먹는 유채나물 1봉(80g), 
2023-06-02 03:26:37의 주문 내역: 구운계란/훈제란 - [기획전특가] 촉촉한 짜지않아서 맛있는 반숙란(대란) 20구/30구  30구,1판, 
2023-05-10 05:57:12의 주문 내역: 당근 - [더블딜] 100% 국내산 23년 햇 흙당근(중/특상) 500g+500g (1kg 한 번에 배송) 외 [더블딜] 중 500g+500g (총 1kg), ","## 다음 구매 상품 예측
기타무침반찬 - [브랜드데이] 밥에 비벼 먹는 윤영근 착한 ""시래기"" 1팩/1+1팩/4팩 골라담기 밥에 비벼 먹는 시래기 1봉(80g)",1
1,"## 주문 히스토리
2023-06-26 02:07:33의 주문 내역 [동시구매]: 기타무침반찬 - [브랜드데이] 밥에 비벼 먹는 윤영근 착한 ""곤드레"" 1팩/1+1팩/4팩 골라담기 밥에 비벼 먹는 곤드레 1봉(80g), 기타무침반찬 - [브랜드데이] 밥에 비벼 먹는 윤영근 착한 ""취나물"" 1팩/1+1팩/4팩 골라담기 밥에 비벼 먹는 취나물 1봉(80g), 기타무침반찬 - [브랜드데이] 밥에 비벼 먹는 윤영근 착한 ""유채나물"" 1팩/1+1팩/4팩 골라담기 밥에 비벼 먹는 유채나물 1봉(80g), 
2023-06-02 03:26:37의 주문 내역: 구운계란/훈제란 - [기획전특가] 촉촉한 짜지않아서 맛있는 반숙란(대란) 20구/30구  30구,1판, 
2023-05-10 05:57:12의 주문 내역: 당근 - [더블딜] 100% 국내산 23년 햇 흙당근(중/특상) 500g+500g (1kg 한 번에 배송) 외 [더블딜] 중 500g+500g (총 1kg), ","## 다음 구매 상품 예측
즉석국 - 전공정 HACCP 인증 국내산 재료로 오래도록 우려낸 정다운 삼계탕(900g) 2봉 외 정다운삼계탕 900g 2봉",0
2,"## 주문 히스토리
2023-06-21 00:39:37의 주문 내역: 골드키위 - [더블딜] 비타민C 가득! 상큼달달 제스프리 골드키위 특대(140g) 3+3입 외 골드키위 특대과(140g) 3+3입, 
2023-05-02 23:29:15의 주문 내역: 구운계란/훈제란 - 쫄깃 탱글탱글 신선함이 가득한 해썹 구운계란 30구 외 30구,1개, 
2023-04-25 01:40:46의 주문 내역 [동시구매]: 베이킹소다 - 베이킹소다 1kg, 과일 채소 다용도 다목적 세척 청소, 일반 섬유유연제 - 퍼퓸 섬유유연제 2L, 베이비파우더향, 액상세제 - 베이킹소다 액체세제 2L, 식물유래성분 중성세제, 세탁조세정제 - 세탁조클리너 600g x 2개입, 일반/드럼겸용 총 8회분, ","## 다음 구매 상품 예측
구운계란/훈제란 - 촉촉한 짜지않아서 맛있는 반숙란(대란) 20구/30구  30구,1판",1
3,"## 주문 히스토리
2023-06-21 00:39:37의 주문 내역: 골드키위 - [더블딜] 비타민C 가득! 상큼달달 제스프리 골드키위 특대(140g) 3+3입 외 골드키위 특대과(140g) 3+3입, 
2023-05-02 23:29:15의 주문 내역: 구운계란/훈제란 - 쫄깃 탱글탱글 신선함이 가득한 해썹 구운계란 30구 외 30구,1개, 
2023-04-25 01:40:46의 주문 내역 [동시구매]: 베이킹소다 - 베이킹소다 1kg, 과일 채소 다용도 다목적 세척 청소, 일반 섬유유연제 - 퍼퓸 섬유유연제 2L, 베이비파우더향, 액상세제 - 베이킹소다 액체세제 2L, 식물유래성분 중성세제, 세탁조세정제 - 세탁조클리너 600g x 2개입, 일반/드럼겸용 총 8회분, ","## 다음 구매 상품 예측
유아물티슈 - [브랜드데이] 베베앙 시그니처 플러스 아기물티슈 캡형 100매 10팩",0
4,"## 주문 히스토리
2023-04-20 14:50:20의 주문 내역: 에센스/세럼 - [더블딜] 잡티개선 비타민 세럼 20ml 1+1+1, ","## 다음 구매 상품 예측
스킨/토너 패드 - [더블딜]바하 필링 토너패드 70매 2+1",1
5,"## 주문 히스토리
2023-04-20 14:50:20의 주문 내역: 에센스/세럼 - [더블딜] 잡티개선 비타민 세럼 20ml 1+1+1, ","## 다음 구매 상품 예측
장아찌 - 고기와 찰떡궁합인 향긋한 명이나물 250g 10회분 외 250g",0
6,"## 주문 히스토리
2023-05-29 15:50:27의 주문 내역 [동시구매]: 도시락류 - 다즐샵 간편식 냉동도시락 일품도시락 10종 10팩, 핫도그 - [네이처그램] 닭가슴살 크리스피 핫도그(치즈/어니언) 2종 80g x 10개 크리스피 핫도그 80g x 10개, 
2023-05-29 15:46:51의 주문 내역: 국산생수 - 청정한 천연 미네랄 크리스탈 생수 2L 6회분 2L x 6병,(2팩), 
2023-05-12 02:38:23의 주문 내역 [동시구매]: 데이크림 - [뷰티특가]블레미쉬 진정 수딩크림 100ml, 네일팁/인조손톱 - [뷰티특가] 젤리핏 트랜디 컬러 네일팁 23종 네온핑크, 네일팁/인조손톱 - [뷰티특가] 젤리핏 트랜디 컬러 네일팁 23종 블랙, 네일팁/인조손톱 - [뷰티특가] 젤리핏 트랜디 컬러 네일팁 23종 블루그린, 네일팁/인조손톱 - [뷰티특가] 젤리핏 트랜디 컬러 네일팁 23종 스카이블루, 네일팁/인조손톱 - [뷰티특가] 젤리핏 트랜디 컬러 네일팁 23종 파스텔퍼플, 선블록/선크림/선로션 - 끈적임 없는 수분진정 선크림 50ml, ","## 다음 구매 상품 예측
롤키친타올 - [골라담기] 천연펄프 키친타올 120매 4롤",1
7,"## 주문 히스토리
2023-05-29 15:50:27의 주문 내역 [동시구매]: 도시락류 - 다즐샵 간편식 냉동도시락 일품도시락 10종 10팩, 핫도그 - [네이처그램] 닭가슴살 크리스피 핫도그(치즈/어니언) 2종 80g x 10개 크리스피 핫도그 80g x 10개, 
2023-05-29 15:46:51의 주문 내역: 국산생수 - 청정한 천연 미네랄 크리스탈 생수 2L 6회분 2L x 6병,(2팩), 
2023-05-12 02:38:23의 주문 내역 [동시구매]: 데이크림 - [뷰티특가]블레미쉬 진정 수딩크림 100ml, 네일팁/인조손톱 - [뷰티특가] 젤리핏 트랜디 컬러 네일팁 23종 네온핑크, 네일팁/인조손톱 - [뷰티특가] 젤리핏 트랜디 컬러 네일팁 23종 블랙, 네일팁/인조손톱 - [뷰티특가] 젤리핏 트랜디 컬러 네일팁 23종 블루그린, 네일팁/인조손톱 - [뷰티특가] 젤리핏 트랜디 컬러 네일팁 23종 스카이블루, 네일팁/인조손톱 - [뷰티특가] 젤리핏 트랜디 컬러 네일팁 23종 파스텔퍼플, 선블록/선크림/선로션 - 끈적임 없는 수분진정 선크림 50ml, ","## 다음 구매 상품 예측
조리도구걸이 - 회전형 조리도구 랙 (색상랜덤)",0
8,"## 주문 히스토리
2023-07-17 03:05:19의 주문 내역 [동시구매]: 시트 마스크/팩 - [뷰티페스타] 수분 영양 히알루론산 마스크 30매, 데이크림 - [뷰티페스타] 잡티케어 비타민 크림 50g, 데이크림 - [뷰티페스타] 미백 주름개선 스네일 크림 50g 1+1 한정특가, 앰플 - [뷰티페스타] 미백 주름개선 스네일 앰플 50ml 1+1 한정특가, 바디미스트 - [뷰티페스타] 피부진정 트러블 클리어 바디미스트 150ml, 스킨/토너/화장수 - [뷰티페스타] 피부진정 병풀 시카 토너 180ml, 츄잉젤리 - 달콤하고 쫀득한 수입 망고맛젤리 300g 망고맛젤리 2팩(300g*2개), 클렌징 젤 - [뷰티페스타] 펀딩 351% 달성! 리얼 한라봉 주스 클렌징 젤 200ml, 스킨/토너 패드 - [뷰티페스타] 바하 필링 토너패드 70매 (1인 3개 구매제한), 핸드워시 - [뷰티페스타] 소프트 버블 핸드워시 500ml, 일반주방세제 - [골라담기] 오염 물질 제거에 탁월한 반짝 주방세제 480ml, 1종세제, 유아식기, 과일세척 , 베이킹소다 - [골라담기] 세정부터 탈취까지! 다용도 베이킹소다 1kg, ","## 다음 구매 상품 예측
차량용디퓨저 - [뷰티페스타] 쿤달 클래식 무드 딥퍼퓸 차량용 방향제 클립형 다크그레이 (디바이스1ea + 리필2ea) 오션썸머나잇",1
9,"## 주문 히스토리
2023-07-17 03:05:19의 주문 내역 [동시구매]: 시트 마스크/팩 - [뷰티페스타] 수분 영양 히알루론산 마스크 30매, 데이크림 - [뷰티페스타] 잡티케어 비타민 크림 50g, 데이크림 - [뷰티페스타] 미백 주름개선 스네일 크림 50g 1+1 한정특가, 앰플 - [뷰티페스타] 미백 주름개선 스네일 앰플 50ml 1+1 한정특가, 바디미스트 - [뷰티페스타] 피부진정 트러블 클리어 바디미스트 150ml, 스킨/토너/화장수 - [뷰티페스타] 피부진정 병풀 시카 토너 180ml, 츄잉젤리 - 달콤하고 쫀득한 수입 망고맛젤리 300g 망고맛젤리 2팩(300g*2개), 클렌징 젤 - [뷰티페스타] 펀딩 351% 달성! 리얼 한라봉 주스 클렌징 젤 200ml, 스킨/토너 패드 - [뷰티페스타] 바하 필링 토너패드 70매 (1인 3개 구매제한), 핸드워시 - [뷰티페스타] 소프트 버블 핸드워시 500ml, 일반주방세제 - [골라담기] 오염 물질 제거에 탁월한 반짝 주방세제 480ml, 1종세제, 유아식기, 과일세척 , 베이킹소다 - [골라담기] 세정부터 탈취까지! 다용도 베이킹소다 1kg, ","## 다음 구매 상품 예측
갓김치 - [더블딜]매콤한 100% 국내산으로 만든 전라도 갓김치 1KG+1KG 여수 돌산 갓김치 1KG+1KG",0
